entry_time,weekday,tou_time_slot,grid_import_energy,solar_prod_energy,solar_ctlr_setpoint,site_load_energy
11/1/24 0:00,Friday,o,1339.4,0,100,1339.4
11/1/24 1:00,Friday,o,1388.9,0,100,1388.9
11/1/24 2:00,Friday,o,1444.8,0,100,1444.8
11/1/24 3:00,Friday,o,1463.7,0,100,1463.7
11/1/24 4:00,Friday,o,1467,0,100,1467
11/1/24 5:00,Friday,o,1378.7,24.21,100,1402.91
11/1/24 6:00,Friday,p,1284.9,173.8,100,1458.7
11/1/24 7:00,Friday,p,968.7,519.5,100,1488.2
11/1/24 8:00,Friday,p,590.9,851.6,100,1442.5
11/1/24 9:00,Friday,s,275.7,1106.1,100,1381.8
11/1/24 10:00,Friday,s,72.9,1189.3,98.767,1262.2
11/1/24 11:00,Friday,s,84.8,1288.9,80.675,1373.7
11/1/24 12:00,Friday,s,72.6,1280.1,86.073,1352.7
11/1/24 13:00,Friday,s,104.7,1219.5,84.958,1324.2
11/1/24 14:00,Friday,s,382.9,1023.2,87.242,1406.1
11/1/24 15:00,Friday,s,618.2,824.7,100,1442.9
11/1/24 16:00,Friday,s,858.4,477,100,1335.4
11/1/24 17:00,Friday,p,1043.7,144.8,100,1188.5
11/1/24 18:00,Friday,p,1112.3,11.44,100,1123.74
11/1/24 19:00,Friday,s,1212,0,100,1212
11/1/24 20:00,Friday,s,1152,0,100,1152
11/1/24 21:00,Friday,s,1126.7,0,100,1126.7
11/1/24 22:00,Friday,o,1178,0,100,1178
11/1/24 23:00,Friday,o,1437.4,0,100,1437.4
11/2/24 0:00,Saturday,o,1223.3,0,100,1223.3
11/2/24 1:00,Saturday,o,1297.1,0,100,1297.1
11/2/24 2:00,Saturday,o,1401.7,0,100,1401.7
11/2/24 3:00,Saturday,o,1431.9,0,100,1431.9
11/2/24 4:00,Saturday,o,1428.3,0,100,1428.3
11/2/24 5:00,Saturday,o,1229.1,26.23,100,1255.33
11/2/24 6:00,Saturday,o,1014.1,184.1,100,1198.2
11/2/24 7:00,Saturday,s,668.3,496.1,100,1164.4
11/2/24 8:00,Saturday,s,248.1,811.9,100,1060
11/2/24 9:00,Saturday,s,68.8,912.3,91.775,981.1
11/2/24 10:00,Saturday,s,68.5,749.8,59.14,818.3
11/2/24 11:00,Saturday,s,71.8,769.3,48.148,841.1
11/2/24 12:00,Saturday,s,68.7,699.7,49.32,768.4
11/2/24 13:00,Saturday,s,71.1,738.8,44.484,809.9
11/2/24 14:00,Saturday,s,67.7,780.7,48.195,848.4
11/2/24 15:00,Saturday,s,68.4,681.8,49.676,750.2
11/2/24 16:00,Saturday,s,234.6,452.5,47.442,687.1
11/2/24 17:00,Saturday,s,559.2,149.2,90.09,708.4
11/2/24 18:00,Saturday,s,684,13.34,100,697.34
11/2/24 19:00,Saturday,s,700.1,0,100,700.1
11/2/24 20:00,Saturday,o,729.5,0,100,729.5
11/2/24 21:00,Saturday,o,631.4,0,100,631.4
11/2/24 22:00,Saturday,o,641.7,0,100,641.7
11/2/24 23:00,Saturday,o,603.4,0,100,603.4
11/3/24 0:00,Sunday,o,573,0,100,573
11/3/24 1:00,Sunday,o,623.9,0,100,623.9
11/3/24 2:00,Sunday,o,601.1,0,100,601.1
11/3/24 3:00,Sunday,o,585.2,0,100,585.2
11/3/24 4:00,Sunday,o,586.6,0,100,586.6
11/3/24 5:00,Sunday,o,543.5,26.17,100,569.67
11/3/24 6:00,Sunday,o,415.4,181.39,100,596.79
11/3/24 7:00,Sunday,o,123.9,471.81,100,595.71
11/3/24 8:00,Sunday,o,68.5,535.49,56.512,603.99
11/3/24 9:00,Sunday,o,69.7,573.6,34.871,643.3
11/3/24 10:00,Sunday,o,70.5,602.5,36.918,673
11/3/24 11:00,Sunday,o,70.3,618.5,38.809,688.8
11/3/24 12:00,Sunday,o,69.9,638.21,39.407,708.11
